ComputerID,ComputerName,AgentType,IsDeleted,LastReportTime,IsRelay,IsLocked,ReportNumber,LastReportSent,Sequence,OriginServerID,OriginSequence
68409,"ChrisM1Lab2’s Virtual Machine
",Native,1,2023-05-17 13:14:10.000,0,0,146,2023-05-17 13:14:00.000,0x0000000011DFD1E8,NULL,NULL
86549,"ChrisMDM2Lab
",Native,1,2023-02-23 22:46:01.000,0,0,84,2023-02-23 19:59:36.000,0x000000000B77C811,NULL,NULL
211826,"ADUAEI18224LPWX
",Native,1,2023-07-11 08:07:36.000,0,0,5,2023-07-11 08:07:07.000,0x0000000019160EF3,NULL,NULL
286728,"ADUAEI15581LPMX
",Native,1,2023-04-28 10:07:53.000,0,0,751,2023-04-28 10:07:44.000,0x000000001915F4E7,NULL,NULL
490926,"A1-004-PC-12
",Native,1,2023-07-19 00:30:37.000,0,0,32,2023-07-19 00:30:33.000,0x000000001915F4C0,NULL,NULL
614822,"A1-004-PC-13
",Native,1,2023-07-19 04:51:56.000,0,0,15,2023-07-19 04:48:18.000,0x000000001915F4DD,NULL,NULL
681347,"ADUAED15308LPMX
",Native,1,2023-06-13 07:51:01.000,0,0,2393,2023-06-13 07:50:57.000,0x0000000019160EAB,NULL,NULL
783157,"ADUAEI13937WKWX
",Native,1,2023-07-10 18:08:34.000,0,0,28969,2023-07-10 18:08:24.000,0x000000001915F4D8,NULL,NULL
784886,"chrisMDMlab-i12’s MacBook Pro
",Native,1,2023-06-20 07:09:12.000,0,0,16,2023-06-20 07:09:08.000,0x0000000015F4A6C7,NULL,NULL
921279,"ADUAEI18248LPWX
",Native,1,2023-03-26 06:14:23.000,0,0,29,2023-03-26 06:12:53.000,0x000000001915F4FE,NULL,NULL
943151,"RK-MR-SPARE-SPA
",Native,1,2023-06-13 07:23:57.000,0,0,1,2023-06-13 07:23:51.000,0x0000000014F9A365,NULL,NULL
992564,"ENG-LOANER-26
",Native,1,2023-07-18 07:28:55.000,0,0,28,2023-07-18 07:28:31.000,0x000000001915F467,NULL,NULL
1165840,"RK-MR-C2-E001-2
",Native,1,2023-06-21 04:45:26.000,0,0,5,2023-06-21 04:45:21.000,0x000000001605AA44,NULL,NULL
1201746,"RK-MR-SPARE-SPA
",Native,1,2023-06-21 05:03:58.000,0,0,7,2023-06-21 05:03:52.000,0x000000001605AA78,NULL,NULL
1307885,"A1-004-PC-25
",Native,1,2023-07-19 00:22:56.000,0,0,30,2023-07-19 00:22:51.000,0x000000001915F4EF,NULL,NULL
1309941,"A1-004-PC-03
",Native,1,2023-07-19 00:55:30.000,0,0,31,2023-07-19 00:55:27.000,0x000000001915F55E,NULL,NULL
1340872,"A1-016-FOS-04
",Native,1,2023-07-20 02:10:01.000,0,0,184,2023-07-20 02:09:57.000,0x000000001915F50F,NULL,NULL
1395294,"A1-004-PC-16
",Native,1,2023-07-19 00:43:25.000,0,0,32,2023-07-19 00:43:20.000,0x000000001915F482,NULL,NULL
1462189,"A1-004-PC-27
",Native,1,2023-07-19 01:02:14.000,0,0,31,2023-07-19 01:02:10.000,0x000000001915F546,NULL,NULL
1496047,"ADUAEI15790LPWX
",Native,1,2023-04-11 11:32:12.000,0,0,3701,2023-04-11 11:31:55.000,0x000000001915F451,NULL,NULL
